ENSEMBL ID	UniProt ID
AT4G24270	AT4G24270.1
AT1G19130	AT1G19130.1
AT4G21670	AT4G21670.1
AT1G11570	AT1G11570.3
AT4G12640	AT4G12640.4
AT3G05270	AT3G05270.2
AT1G77030	AT1G77030.1
AT1G73430	AT1G73430.1
AT2G27450	AT2G27450.2
AT5G64940	AT5G64940.1
AT3G12340	AT3G12340.3
AT2G18280	AT2G18280.1
AT4G38670	AT4G38670.1
AT5G18037	AT5G18037.1
AT1G02960	AT1G02960.4
AT3G05480	AT3G05480.1
AT5G06510	AT5G06510.7
AT4G23630	AT4G23630.1
AT5G60120	AT5G60120.5
AT2G24520	AT2G24520.1
AT5G61960	AT5G61960.7
AT3G55380	AT3G55380.2
AT1G54770	AT1G54770.1
AT5G46670	AT5G46670.1
AT3G49640	AT3G49640.3
AT1G78040	AT1G78040.2
AT2G36560	AT2G36560.1
AT3G61180	AT3G61180.1
AT3G43083	AT3G43083.1
AT5G42000	AT5G42000.2
AT5G42690	AT5G42690.4
AT2G25500	AT2G25500.1
AT1G53760	AT1G53760.1
AT5G57630	AT5G57630.2
AT5G04110	AT5G04110.4
AT1G04650	AT1G04650.2
AT5G37475	AT5G37475.2
AT1G43770	AT1G43770.1
AT5G47730	AT5G47730.2
AT1G72610	AT1G72610.1
AT3G14980	AT3G14980.5
AT1G73960	AT1G73960.3
AT1G57600	AT1G57600.1
AT3G04170	AT3G04170.1
AT1G68530	AT1G68530.2
AT1G11500	AT1G11500.3
AT5G22780	AT5G22780.1
AT4G29950	AT4G29950.1
AT1G76280	AT1G76280.4
AT4G14640	AT4G14640.3
AT3G26147	AT3G26147.1
AT3G06720	AT3G06720.2
AT2G26200	AT2G26200.2
AT4G12010	AT4G12010.1
AT2G21230	AT2G21230.2
AT5G10280	AT5G10280.1
AT3G24929	AT3G24929.6
AT2G13550	AT2G13550.2
AT5G65060	AT5G65060.3
AT1G43665	AT1G43665.1
AT3G49150	AT3G49150.1
AT3G61730	AT3G61730.1
AT1G51360	AT1G51360.1
AT1G06200	AT1G06200.2
AT1G49630	AT1G49630.1
AT5G19030	AT5G19030.4
AT1G52280	AT1G52280.1
AT1G76940	AT1G76940.1
AT3G30841	AT3G30841.2
AT3G29780	AT3G29780.1
AT1G20700	AT1G20700.1
AT3G52100	AT3G52100.1
AT3G45140	AT3G45140.2
AT3G27480	AT3G27480.1
AT5G18630	AT5G18630.3
AT5G06570	AT5G06570.3
AT4G26510	AT4G26510.3
AT5G25280	AT5G25280.1
AT3G16940	AT3G16940.1
AT2G16770	AT2G16770.2
AT2G34530	AT2G34530.5
AT3G52340	AT3G52340.1
AT1G23000	AT1G23000.1
AT4G19110	AT4G19110.1
AT5G09510	AT5G09510.1
AT1G79490	AT1G79490.1
AT3G42960	AT3G42960.1
AT4G16566	AT4G16566.3
AT2G24800	AT2G24800.1
AT5G59860	AT5G59860.1
AT3G43230	AT3G43230.1
AT5G27800	AT5G27800.1
AT1G25277	AT1G25277.2
AT5G64360	AT5G64360.4
AT5G03040	AT5G03040.1
AT2G33710	AT2G33710.1
AT2G40850	AT2G40850.1
AT5G19810	AT5G19810.1
AT1G44750	AT1G44750.6
AT4G11060	AT4G11060.1
